"","Title","Authors","Source Title","Publication Year","Total Citations"
"11","Observational constraints on the global atmospheric budget of ethanol","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,12
"12","Measurement of atmospheric nitrous acid at Blodgett Forest during BEARPEX2007","Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,13
"13","Major components of atmospheric organic aerosol in southern California as determined by hourly measurements of source marker compounds","Goldstein;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,23
"14","In situ measurements of gas/particle-phase transitions for atmospheric semivolatile organic compounds","Goldstein;Williams;Williams","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,15
"15","Climate control of terrestrial carbon exchange across biomes and continents","Goldstein;Williams;Williams","ENVIRONMENTAL RESEARCH LETTERS",2010,3
"16","The 2005 Study of Organic Aerosols at Riverside (SOAR-1): instrumental intercomparisons and fine particle composition","Goldstein;Williams;Williams;Ziemann","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,23
"17","Photochemical modeling of glyoxal at a rural site: observations and analysis from BEARPEX 2007","Goldstein;Farmer;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,17
"18","Development of a new consumable-free thermal modulator for comprehensive two-dimensional gas chromatography","Goldstein;Williams;Williams","JOURNAL OF CHROMATOGRAPHY A",2011,20
"19","The Chemistry of Atmosphere-Forest Exchange (CAFE) Model - Part 2: Application to BEARPEX-2007 observations","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,3
"20","Origins and composition of fine atmospheric carbonaceous aerosol in the Sierra Nevada Mountains, California","Goldstein;Williams;Farmer;Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,19
"21","Formation and growth of ultrafine particles from secondary sources in Bakersfield, California","Goldstein;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2012,NA
"22","Increasing atmospheric burden of ethanol in the United States","Goldstein;de Gouw","GEOPHYSICAL RESEARCH LETTERS",2012,NA
"23","Organic Constituents on the Surfaces of Aerosol Particles from Southern Finland, Amazonia, and California Studied by Vibrational Sum Frequency Generation","Goldstein;Williams;Geiger;Williams","JOURNAL OF PHYSICAL CHEMISTRY A",2012,32
"24","Improved Resolution of Hydrocarbon Structures and Constitutional Isomers in Complex Mixtures Using Gas Chromatography-Vacuum Ultraviolet-Mass Spectrometry","Goldstein;Kroll","ANALYTICAL CHEMISTRY",2012,5
"25","Insights into hydroxyl measurements and atmospheric oxidation in a California forest","Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,17
"26","Reduction in carbon uptake during turn of the century drought in western North America","Goldstein;Williams;Williams","NATURE GEOSCIENCE",2012,8
"27","Tropospheric methanol observations from space: retrieval evaluation and constraints on the seasonality of biogenic emissions","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,13
"28","Organosulfates as Tracers for Secondary Organic Aerosol (SOA) Formation from 2-Methyl-3-Buten-2-ol (MBO) in the Atmosphere","Goldstein;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,17
"29","Organic aerosol composition and sources in Pasadena, California, during the 2010 CalNex campaign","Goldstein;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,16
"30","Molecular characterization of organic aerosol using nanospray desorption/electrospray ionization mass spectrometry: CalNex 2010 field study","Goldstein;O'Brien","ATMOSPHERIC ENVIRONMENT",2013,NA
"31","Probing molecular associations of field-collected and laboratory-generated SOA with nano-DESI high-resolution mass spectrometry","Goldstein;O'Brien","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,2
"32","Quantifying sources of methane using light alkanes in the Los Angeles basin, California","Goldstein;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,10
"33","The 2010 California Research at the Nexus of Air Quality and Climate Change (CalNex) field study","Goldstein;Williams;Williams;de Gouw;Prather","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,11
"34","Photochemical aging of volatile organic compounds in the Los Angeles basin: Weekday-weekend effect","Goldstein;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,10
"35","Observational Insights into Aerosol Formation from Isoprene","Goldstein;Farmer;de Gouw;Wennberg","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,20
"36","Insights into Secondary Organic Aerosol Formation Mechanisms from Measured Gas/Particle Partitioning of Specific Organic Tracer Compounds","Goldstein;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,8
"37","Emissions of organic carbon and methane from petroleum and dairy operations in California's San Joaquin Valley","Goldstein;de Gouw;Wennberg;VandenBoer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,10
"38","Molecular characterization of S- and N-containing organic constituents in ambient aerosols by negative ion mode high-resolution Nanospray Desorption Electrospray Ionization Mass Spectrometry: CalNex 2010 field study","Goldstein;O'Brien","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2014,22
"39","On the temperature dependence of organic reactivity, nitrogen oxides, ozone production, and the impact of emission controls in San Joaquin Valley, California","Goldstein;Wennberg;VandenBoer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,7
"40","The First Combined Thermal Desorption Aerosol Gas Chromatograph-Aerosol Mass Spectrometer (TAG-AMS)","Goldstein;Williams;Williams","AEROSOL SCIENCE AND TECHNOLOGY",2014,4
"41","Atmospheric amines and ammonia measured with a chemical ionization mass spectrometer (CIMS)","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,22
"42","A Technique for Rapid Gas Chromatography Analysis Applied to Ambient Organic Aerosol Measurements from the Thermal Desorption Aerosol Gas Chromatograph (TAG)","Goldstein;Williams;Williams","AEROSOL SCIENCE AND TECHNOLOGY",2014,11
"43","Organic nitrate aerosol formation via NO3 + biogenic volatile organic compounds in the southeastern United States","Goldstein;de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,23
"44","Gas and aerosol carbon in California: comparison of measurements and model predictions in Pasadena and Bakersfield","Goldstein;de Gouw;Stevens","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,9
"45","Characterization of a real-time tracer for isoprene epoxydiols-derived secondary organic aerosol (IEPOX-SOA) from aerosol mass spectrometer measurements","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,20
"46","Atmospheric benzenoid emissions from plants rival those from fossil fuels","Goldstein;Williams;Williams","SCIENTIFIC REPORTS",2015,NA
"47","Indoor chemistry: research opportunities and challenges","Goldstein;Nazaroff","INDOOR AIR",2015,4
"48","An Atmospheric Constraint on the NO2 Dependence of Daytime Near-Surface Nitrous Acid (HONO)","Goldstein;Young;Stevens;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,21
"49","Siloxanes Are the Most Abundant Volatile Organic Compound Emitted from Engineering Students in a Classroom","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2015,11
"50","Quantifying sources and sinks of reactive gases in the lower atmosphere using airborne flux observations","Goldstein;Wennberg","GEOPHYSICAL RESEARCH LETTERS",2015,19
"51","Comprehensive Chemical Characterization of Hydrocarbons in NIST Standard Reference Material 2779 Gulf of Mexico Crude Oil","Goldstein;Isaacman-VanWertz","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,22
"52","Observation of isoprene hydroxynitrates in the southeastern United States and implications for the fate of NOx","Goldstein;de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,19
"53","Effects of anthropogenic emissions on aerosol formation from isoprene and monoterpenes in the southeastern United States","Goldstein;Isaacman-VanWertz;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2015,1
"54","Effects of anthropogenic emissions on aerosol formation from isoprene and monoterpenes in the southeastern United States (vol 112, pg 37, 2015)","Goldstein;Isaacman-VanWertz;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2015,32
"55","Fundamental Time Scales Governing Organic Aerosol Multiphase Partitioning and Oxidative Aging","Goldstein;Isaacman-VanWertz","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,16
"56","Ozone production chemistry in the presence of urban plumes","Goldstein;Wennberg","FARADAY DISCUSSIONS",2016,NA
"57","Testing Atmospheric Oxidation in an Alabama Forest","Goldstein;Wennberg","JOURNAL OF THE ATMOSPHERIC SCIENCES",2016,12
"58","Organic nitrate chemistry and its implications for nitrogen budgets in an isoprene- and monoterpene-rich atmosphere: constraints from aircraft (SEAC(4)RS) and ground-based (SOAS) observations in the Southeast US","Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,9
"59","Volatility and lifetime against OH heterogeneous reaction of ambient isoprene-epoxydiols-derived secondary organic aerosol (IEPOX-SOA)","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,18
"60","Ambient Gas-Particle Partitioning of Tracers for Biogenic Oxidation","Goldstein;Isaacman-VanWertz","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2016,18
"61","Speciation of OH reactivity above the canopy of an isoprene-dominated forest","Goldstein;de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,14
"62","Highly functionalized organic nitrates in the southeast United States: Contribution to secondary organic aerosol and reactive nitrogen budgets","Goldstein;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2016,6
"63","Isoprene suppression of new particle formation: Potential mechanisms and implications","Goldstein;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,24
"64","Atmospheric fates of Criegee intermediates in the ozonolysis of isoprene","Goldstein;de Gouw;Wennberg","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2016,15
"65","The lifetime of nitrogen oxides in an isoprene-dominated forest","Goldstein;de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,12
"66","Volatile Organic Compound Emissions from Humans Indoors","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2016,23
"67","Spatially resolved flux measurements of NOx from London suggest significantly higher emissions than predicted by inventories","Goldstein;Carslaw","FARADAY DISCUSSIONS",2016,NA
"68","Organic and inorganic decomposition products from the thermal desorption of atmospheric particles","Goldstein;Williams;Williams","ATMOSPHERIC MEASUREMENT TECHNIQUES",2016,4
"69","A technique for rapid source apportionment applied to ambient organic aerosol measurements from a thermal desorption aerosol gas chromatograph (TAG)","Goldstein;Williams;Williams","ATMOSPHERIC MEASUREMENT TECHNIQUES",2016,11
"70","Microbes and associated soluble and volatile chemicals on periodically wet household surfaces","Goldstein;Adams;Nazaroff","MICROBIOME",2017,NA
"71","Influence of urban pollution on the production of organic particulate matter from isoprene epoxydiols in central Amazonia","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,11
"72","Review of Urban Secondary Organic Aerosol Formation from Gasoline and Diesel Motor Vehicle Emissions","Goldstein;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2017,3
"73","Qualitative and quantitative analysis of atmospheric organosulfates in Centreville, Alabama","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,2
"74","Comprehensive characterization of atmospheric organic carbon at a forested site","Goldstein;Kroll","NATURE GEOSCIENCE",2017,10
"75","Using advanced mass spectrometry techniques to fully characterize atmospheric organic carbon: current capabilities and remaining gaps","Goldstein;Isaacman-VanWertz;Kroll;O'Brien","FARADAY DISCUSSIONS",2017,NA
"76","Automated single-ion peak fitting as an efficient approach for analyzing complex chromatographic data","Goldstein;Isaacman-VanWertz;de Gouw","JOURNAL OF CHROMATOGRAPHY A",2017,NA
"77","On the implications of aerosol liquid water and phase separation for organic aerosol mass","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,1
"78","Field intercomparison of the gas/particle partitioning of oxygenated organics during the Southern Oxidant and Aerosol Study (SOAS) in 2013","Goldstein;Isaacman-VanWertz","AEROSOL SCIENCE AND TECHNOLOGY",2017,1
"79","Improved molecular level identification of organic compounds using comprehensive two-dimensional chromatography, dual ionization energies and high resolution mass spectrometry","Goldstein;Isaacman-VanWertz","ANALYST",2017,13
"80","Measurement of NO3 and N2O5 in a Residential Kitchen","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2018,10
"81","SYNTHESIS OF THE SOUTHEAST ATMOSPHERE STUDIES: Investigating Fundamental Atmospheric Chemistry Questions","Goldstein;Turpin;Farmer;de Gouw;Wennberg","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY",2018,3
"82","Urban influence on the concentration and composition of submicron particulate matter in central Amazonia","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,16
"83","Organosulfates in aerosols downwind of an urban region in central Amazon","Goldstein;Isaacman-VanWertz","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2018,11
"84","Chemical evolution of atmospheric organic carbon over multiple generations of oxidation","Goldstein;Isaacman-VanWertz;Kroll;O'Brien","NATURE CHEMISTRY",2018,4
"85","Detailed investigation of ventilation rates and airflow patterns in a northern California residence","Goldstein;Nazaroff","INDOOR AIR",2018,4
"86","Volatile chemical products emerging as largest petrochemical source of urban organic emissions","Goldstein;Isaacman-VanWertz;de Gouw","SCIENCE",2018,6377
"87","Emission Factors of Microbial Volatile Organic Compounds from Environmental Bacteria and Fungi","Goldstein;Adams","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,15
"88","Secondary organic aerosol formation from ambient air in an oxidation flow reactor in central Amazonia","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,1
"89","Coupling of organic and inorganic aerosol systems and the effect on gas-particle partitioning in the southeastern US","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,1
"90","Effects of temperature-dependent NOx emissions on continental ozone production","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,4
"91","Intercomparison of OH and OH reactivity measurements in a high isoprene and low NO environment during the Southern Oxidant and Aerosol Study (SOAS)","Goldstein;de Gouw;Wennberg","ATMOSPHERIC ENVIRONMENT",2018,NA
"92","Fluorescent biological aerosol particles: Concentrations, emissions, and exposures in a northern California residence","Goldstein;Nazaroff","INDOOR AIR",2018,4
"93","Observations of sesquiterpenes and their oxidation products in central Amazonia during the wet and dry seasons","Goldstein;Geiger;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,14
"94","Monoterpenes are the largest source of summertime organic aerosol in the southeastern United States","Goldstein;Isaacman-VanWertz;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2018,9
"95","Observations and Contributions of Real-Time Indoor Ammonia Concentrations during HOMEChem","Goldstein;Novoselac;Waring","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,15
"96","Heterogeneous Ozonolysis of Squalene: Gas-Phase Products Depend on Water Vapor Concentration","Goldstein;Williams;Williams;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,24
"97","Contributions of biomass-burning, urban, and biogenic emissions to the concentrations and light-absorbing properties of particulate matter in central Amazonia during the dry season","Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,12
"98","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Goldstein;Novoselac;Farmer;Abbatt;Ruiz;Vance;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,8
"99","Sources and dynamics of semivolatile organic compounds in a single-family residence in northern California","Goldstein;Nazaroff","INDOOR AIR",2019,4
"100","Characterizing sources and emissions of volatile organic compounds in a northern California residence using space- and time-resolved measurements","Goldstein;Nazaroff","INDOOR AIR",2019,4
"101","Characterizing Airborne Phthalate Concentrations and Dynamics in a Normally Occupied Residence","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,13
"102","Increasing Isoprene Epoxydiol-to-Inorganic Sulfate Aerosol Ratio Results in Extensive Conversion of Inorganic Sulfate to Organosulfur Forms: Implications for Aerosol Physicochemical Properties","Goldstein;Ault;Turpin","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,15
"103","Urban pollution greatly enhances formation of natural aerosols over the Amazon rainforest","Goldstein;Isaacman-VanWertz;McNeill","NATURE COMMUNICATIONS",2019,NA
"104","Importance of biogenic volatile organic compounds to acyl peroxy nitrates (APN) production in the southeastern US during SOAS 2013","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,3
"105","Surface Wetness as an Unexpected Control on Forest Exchange of Volatile Organic Acids","Goldstein;Farmer","GEOPHYSICAL RESEARCH LETTERS",2020,15
"106","Contrasting Reactive Organic Carbon Observations in the Southeast United States (SOAS) and Southern California (CalNex)","Goldstein;Young;Isaacman-VanWertz;de Gouw;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,23
"107","Surface Emissions Modulate Indoor SVOC Concentrations through Volatility-Dependent Partitioning","Goldstein;Vance;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,11
"108","Dark Chemistry during Bleach Cleaning Enhances Oxidation of Organics and Secondary Organic Aerosol Production Indoors","Goldstein;Farmer;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2020,11
"109","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Goldstein;Farmer;Abbatt;Ruiz;Shiraiwa;Vance;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,3
"110","The FLUXNET2015 dataset and the ONEFlux processing pipeline for eddy covariance data","Goldstein;Stevens","SCIENTIFIC DATA",2020,1
"111","Indoor Particulate Matter during HOMEChem: Concentrations, Size Distributions, and Exposures","Goldstein;Farmer;Vance;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,12
"112","Surface reservoirs dominate dynamic gas-surface partitioning of many indoor air constituents","Goldstein;Novoselac;Farmer;Abbatt;Vance;Nazaroff","SCIENCE ADVANCES",2020,8
"113","Natural and Anthropogenically Influenced Isoprene Oxidation in Southeastern United States and Central Amazon","Goldstein;Isaacman-VanWertz","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,10
"114","Volatile organic compound emissions during HOMEChem","Goldstein;Novoselac;Farmer;Vance;Nazaroff","INDOOR AIR",2021,NA
"115","Real-time organic aerosol chemical speciation in the indoor environment using extractive electrospray ionization mass spectrometry","Goldstein;Farmer;Ruiz;Vance","INDOOR AIR",2021,1
"116","How Do Indoor Environments Affect Air Pollution Exposure?","Goldstein;Williams;Williams;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,1
"117","Quantification of cooking organic aerosol in the indoor environment using aerodyne aerosol mass spectrometers","Goldstein;Farmer;Ruiz;Vance","AEROSOL SCIENCE AND TECHNOLOGY",2021,10
"118","Large Emissions of Low-Volatility Siloxanes during Residential Oven Use","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2021,7
"119","Observing ozone chemistry in an occupied residence","Goldstein;Nazaroff","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2021,6
"120","Intake Fractions for Volatile Organic Compounds in Two Occupied California Residences","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2021,5
"121","High-Resolution Exposure Assessment for Volatile Organic Compounds in Two California Residences","Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,10
"122","Indoor emissions of total and fluorescent supermicron particles during HOMEChem","Goldstein;Novoselac;Farmer;Vance;Nazaroff","INDOOR AIR",2021,1
"123","Impact of Emissions from the Los Angeles Port Region on San Diego Air Quality during Regional Transport Events","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2009,94
"124","Characterization of the Single Particle Mixing State of Individual Ship Plume Events Measured at the Port of Los Angeles","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2010,100
"125","Detection of Asian dust in California orographic precipitation","Ault;Williams;Williams;Prather","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2011,77
"126","Measurements of Aerosol Chemistry during New Particle Formation Events at a Remote Rural Mountain Site","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,48
"127","Measurements of Isoprene-Derived Organosulfates in Ambient Aerosols by Aerosol Time-of-Flight Mass Spectrometry - Part 1: Single Particle Atmospheric Observations in Atlanta","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,93
"128","Measurements of Isoprene-Derived Organosulfates in Ambient Aerosols by Aerosol Time-of-Flight Mass Spectrometry-Part 2: Temporal Variability and Formation Mechanisms","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2011,61
"129","Single-Particle SEM-EDX Analysis of Iron-Containing Coarse Particulate Matter in an Urban Environment: Sources and Distribution of Iron within Cleveland, Ohio","Ault;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,82
"130","Bringing the ocean into the laboratory to probe the chemical complexity of sea spray aerosol","Ault;Geiger;Prather;Grassian","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2013,280
"131","Evaluation of aerosol mixing state classes in the GISS modelE-MATRIX climate model using single-particle mass spectrometry measurements","Ault;Prather","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,34
"132","Impact of marine biogeochemistry on the chemical mixing state and cloud forming ability of nascent sea spray aerosol","Ault;Prather;Grassian","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,66
"133","Inside versus Outside: Ion Redistribution in Nitric Acid Reacted Sea Spray Aerosol Particles as Determined by Single Particle Analysis","Ault;Prather;Grassian","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",2013,76
"134","Raman microspectroscopy and vibrational sum frequency generation spectroscopy as probes of the bulk and surface compositions of size-resolved sea spray aerosol particles","Ault;Geiger;Prather;Grassian","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2013,67
"135","Size-Dependent Changes in Sea Spray Aerosol Composition and Properties with Different Seawater Conditions","Ault;Geiger;Prather;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,121
"136","Size-Resolved Sea Spray Aerosol Particles Studied by Vibrational Sum Frequency Generation","Ault;Geiger;Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY A",2013,36
"137","Chemical properties of insoluble precipitation residue particles","Ault;Prather","JOURNAL OF AEROSOL SCIENCE",2014,23
"138","Heterogeneous Reactivity of Nitric Acid with Nascent Sea Spray Aerosol: Large Differences Observed between and within Individual Particles","Ault;Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY LETTERS",2014,49
"139","On the Role of Particle Inorganic Mixing State in the Reactive Uptake of N2O5 to Ambient Aerosol Particles","Ault;Prather","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,44
"140","Toxicity assessment of zinc oxide nanoparticles using sub-acute and sub-chronic murine inhalation models","Ault;Grassian","PARTICLE AND FIBRE TOXICOLOGY",2014,125
"141","Transition Metal Associations with Primary Biological Particles in Sea Spray Aerosol Generated in a Wave Channel","Ault;Prather;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,41
"142","Comparison of the mixing state of long-range transported Asian and African mineral dust","Ault;Prather","ATMOSPHERIC ENVIRONMENT",2015,33
"143","Impact of interannual variations in sources of insoluble aerosol species on orographic precipitation over California's central Sierra Nevada","Ault;Prather","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,24
"144","Sea spray aerosol as a unique source of ice nucleating particles","Ault;Abbatt;Prather;Grassian","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2016,193
"145","Development of a hydrophilic interaction liquid chromatography (HILIC) method for the chemical characterization of water-soluble isoprene epoxydiol (IEPOX)-derived secondary organic aerosol","Ault;Turpin","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2018,43
"146","Increasing Isoprene Epoxydiol-to-Inorganic Sulfate Aerosol Ratio Results in Extensive Conversion of Inorganic Sulfate to Organosulfur Forms: Implications for Aerosol Physicochemical Properties","Ault;Goldstein;Turpin","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,58
"147","Joint Impacts of Acidity and Viscosity on the Formation of Secondary Organic Aerosol from Isoprene Epoxydiols (IEPDX) in Phase Separated Particles","Ault;Turpin;Kroll","ACS EARTH AND SPACE CHEMISTRY",2019,26
"148","Heterogeneous Hydroxyl Radical Oxidation of Isoprene-Epoxydiol-Derived Methyltetrol Sulfates: Plausible Formation Mechanisms of Previously Unexplained Organosulfates in Ambient Fine Aerosols","Ault;Turpin","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2020,11
"149","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Ault;Donaldson;Farmer;Morrison;Shiraiwa;Vance;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"150","The acidity of atmospheric particles and clouds","Ault;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2020,93
